series_id,regime,parent_dgp,base_level,season_amp,noise_scale,shift_date,step_size,zero_rate_target,promo_lift,n_train_days,n_obs,seed_offset
smooth_001,smooth_seasonal,smooth,126.26501072796034,0.2897569215867192,3.9742476281961614,,0.0,0.0,0.0,1068,1096,1
smooth_002,smooth_seasonal,smooth,138.85568166841082,0.4085573592098688,5.537951207687479,,0.0,0.0,0.0,1068,1096,2
smooth_003,smooth_seasonal,smooth,126.18284430877674,0.3538420385268978,5.359142520652515,,0.0,0.0,0.0,1068,1096,3
smooth_004,smooth_seasonal,smooth,138.9814139813485,0.37414339248490486,6.807341482379806,,0.0,0.0,0.0,1068,1096,4
smooth_005,smooth_seasonal,smooth,98.53433349470592,0.2648773304680564,4.1437917807596,,0.0,0.0,0.0,1068,1096,5
smooth_006,smooth_seasonal,smooth,87.28506004217,0.4377783398963678,5.003757238424131,,0.0,0.0,0.0,1068,1096,6
smooth_007,smooth_seasonal,smooth,132.94325265707164,0.307876560264918,4.309315993591413,,0.0,0.0,0.0,1068,1096,7
smooth_008,smooth_seasonal,smooth,80.56864540465932,0.3484786938556095,3.7048079316950666,,0.0,0.0,0.0,1068,1096,8
smooth_009,smooth_seasonal,smooth,126.0255796858765,0.30934539767261193,6.537547761053164,,0.0,0.0,0.0,1068,1096,9
smooth_010,smooth_seasonal,smooth,95.66096082015552,0.258627015329783,5.326600859534945,,0.0,0.0,0.0,1068,1096,10
mean_step_001,mean_step,smooth,78.48210361018513,0.258386844828776,3.463827662372478,2023-10-18,59.048106366086344,0.0,0.0,1068,1096,11
mean_step_002,mean_step,smooth,105.79369980373654,0.2607800958530429,4.300657328858,2023-08-07,73.30551406890424,0.0,0.0,1068,1096,12
mean_step_003,mean_step,smooth,77.35008852102868,0.23463027311911,3.105904657007893,2023-09-13,66.24642164602727,0.0,0.0,1068,1096,13
mean_step_004,mean_step,smooth,75.0530161460973,0.34180664278088463,5.040899715622432,2023-06-05,57.582569544166645,0.0,0.0,1068,1096,14
mean_step_005,mean_step,smooth,85.39155238544274,0.2515647777995908,6.4374862633706105,2023-12-03,49.54510296074179,0.0,0.0,1068,1096,15
mean_step_006,mean_step,smooth,93.46025026554697,0.26051423918741706,5.785259206121064,2023-11-06,50.48237420315425,0.0,0.0,1068,1096,16
mean_step_007,mean_step,smooth,105.27114027592322,0.314738192304011,3.2263600263029,2023-07-27,51.775886327524404,0.0,0.0,1068,1096,17
mean_step_008,mean_step,smooth,102.34397104321332,0.22268691864741194,3.1961596847998295,2023-10-08,75.30048264275801,0.0,0.0,1068,1096,18
mean_step_009,mean_step,smooth,91.28686121499601,0.2791860695160198,4.73311750217583,2023-08-09,68.08756139450733,0.0,0.0,1068,1096,19
mean_step_010,mean_step,smooth,88.37623546012746,0.35844445683636567,4.3706715589653236,2023-09-08,65.95858814015646,0.0,0.0,1068,1096,20
promo_001,promo_driven,promo,84.24185712522937,0.22837566313931384,8.449278953165972,,0.0,0.0,1.9686998328492633,1068,1096,21
promo_002,promo_driven,promo,87.09433425443723,0.22257589710978581,6.456265005998821,,0.0,0.0,2.2337826645550027,1068,1096,22
promo_003,promo_driven,promo,94.97697663299022,0.24302680761945716,7.235507052867579,,0.0,0.0,1.9944951015074501,1068,1096,23
promo_004,promo_driven,promo,86.27566195301304,0.2987076748846257,7.5626958130797775,,0.0,0.0,1.8809365195710326,1068,1096,24
promo_005,promo_driven,promo,77.10632769971656,0.2608508538486799,7.957678545070817,,0.0,0.0,2.1342384270924817,1068,1096,25
promo_006,promo_driven,promo,75.62311385939147,0.23113908312767278,7.237136396949028,,0.0,0.0,2.59411592457451,1068,1096,26
promo_007,promo_driven,promo,66.19212040637511,0.20454213260699639,8.5830063484071,,0.0,0.0,2.5399720583243504,1068,1096,27
promo_008,promo_driven,promo,60.15395946333729,0.21971869854452014,4.137361861754516,,0.0,0.0,2.0060130611518394,1068,1096,28
promo_009,promo_driven,promo,78.33813137884108,0.19036698580822523,7.591446175605981,,0.0,0.0,2.2788233322026232,1068,1096,29
promo_010,promo_driven,promo,91.58856389939106,0.20843041286879535,4.940469078629804,,0.0,0.0,2.2550726067274653,1068,1096,30
intermittent_001,intermittent,intermittent,5.041104868725432,0.0,0.0,,0.0,0.6925825046204568,0.0,1068,1096,31
intermittent_002,intermittent,intermittent,3.4155077765140023,0.0,0.0,,0.0,0.7194258077006888,0.0,1068,1096,32
intermittent_003,intermittent,intermittent,2.4726040598355628,0.0,0.0,,0.0,0.7659806566202341,0.0,1068,1096,33
intermittent_004,intermittent,intermittent,3.4913040522702268,0.0,0.0,,0.0,0.6815387135292041,0.0,1068,1096,34
intermittent_005,intermittent,intermittent,3.508253714761062,0.0,0.0,,0.0,0.6996889837644874,0.0,1068,1096,35
intermittent_006,intermittent,intermittent,5.179091465975136,0.0,0.0,,0.0,0.7166280072972676,0.0,1068,1096,36
intermittent_007,intermittent,intermittent,2.6965883012104865,0.0,0.0,,0.0,0.7129735959945864,0.0,1068,1096,37
intermittent_008,intermittent,intermittent,4.214527689798711,0.0,0.0,,0.0,0.7938665890717294,0.0,1068,1096,38
intermittent_009,intermittent,intermittent,3.43110387359221,0.0,0.0,,0.0,0.6706284756512477,0.0,1068,1096,39
intermittent_010,intermittent,intermittent,3.783543288996115,0.0,0.0,,0.0,0.6982246017481167,0.0,1068,1096,40
cold_001,cold_start,smooth,109.89728641946056,0.3760641714924062,9.881361820312405,,0.0,0.0,0.0,35,63,41
cold_002,cold_start,promo,118.27698853699155,0.29972579487808776,5.575730951054078,,0.0,0.0,1.9647910538622204,54,82,42
cold_003,cold_start,smooth,113.08617090938924,0.36029427871302144,5.009950773384569,,0.0,0.0,0.0,58,86,43
cold_004,cold_start,promo,127.99841214463146,0.2758677259567474,8.359907899999644,,0.0,0.0,2.2716354060970305,53,81,44
cold_005,cold_start,smooth,96.71022043723066,0.2787592839632241,7.121472765743338,,0.0,0.0,0.0,58,86,45
cold_006,cold_start,promo,118.18979215940003,0.29314373989294623,5.562259990172606,,0.0,0.0,2.4606569103695626,42,70,46
cold_007,cold_start,smooth,81.86285600688734,0.3898688214775867,4.6448328753239085,,0.0,0.0,0.0,55,83,47
cold_008,cold_start,promo,71.16597388102572,0.26619880154466763,9.921193857138938,,0.0,0.0,2.231536837507883,37,65,48
cold_009,cold_start,smooth,97.41994315325758,0.24423371364582094,4.75146499029541,,0.0,0.0,0.0,33,61,49
cold_010,cold_start,promo,104.3940643250962,0.3451432213782355,5.085372981282154,,0.0,0.0,2.221650175639877,38,66,50
